Frame,Time(s),Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Speed,Acceleration_X,Acceleration_Y,Acceleration_Z,Acc_Magnitude,Force_X,Force_Y,Force_Z,Force_Magnitude,Momentum_X,Momentum_Y,Momentum_Z,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
34,0.567,-4.6836,5,0.75,0.6133,0,0,0.6133,0.2,0,0,0.2,0.4,0,0,0.4,1.2267,0,0,1.2267,0.3164,0,0.3762,14.715,15.0912,
35,0.583,-4.6733,5,0.75,0.6167,0,0,0.6167,0.2,0,0,0.2,0.4,0,0,0.4,1.2333,0,0,1.2333,0.3267,0,0.3803,14.715,15.0953,
36,0.6,-4.663,5,0.75,0.62,0,0,0.62,0.2,0,0,0.2,0.4,0,0,0.4,1.24,0,0,1.24,0.337,0,0.3844,14.715,15.0994,
37,0.617,-4.6526,5,0.75,0.6233,0,0,0.6233,0.2,0,0,0.2,0.4,0,0,0.4,1.2467,0,0,1.2467,0.3474,0,0.3885,14.715,15.1035,
38,0.633,-4.6422,5,0.75,0.6267,0,0,0.6267,0.2,0,0,0.2,0.4,0,0,0.4,1.2533,0,0,1.2533,0.3578,0,0.3927,14.715,15.1077,
39,0.65,-4.6317,5,0.75,0.63,0,0,0.63,0.2,0,0,0.2,0.4,0,0,0.4,1.26,0,0,1.26,0.3683,0,0.3969,14.715,15.1119,
40,0.667,-4.6211,5,0.75,0.6333,0,0,0.6333,0.2,0,0,0.2,0.4,0,0,0.4,1.2667,0,0,1.2667,0.3789,0,0.4011,14.715,15.1161,
41,0.683,-4.6105,5,0.75,0.6367,0,0,0.6367,0.2,0,0,0.2,0.4,0,0,0.4,1.2733,0,0,1.2733,0.3895,0,0.4053,14.715,15.1203,
42,0.7,-4.5998,5,0.75,0.64,0,0,0.64,0.2,0,0,0.2,0.4,0,0,0.4,1.28,0,0,1.28,0.4002,0,0.4096,14.715,15.1246,
43,0.717,-4.5891,5,0.75,0.6433,0,0,0.6433,0.2,0,0,0.2,0.4,0,0,0.4,1.2867,0,0,1.2867,0.4109,0,0.4139,14.715,15.1289,
44,0.733,-4.5783,5,0.75,0.6467,0,0,0.6467,0.2,0,0,0.2,0.4,0,0,0.4,1.2933,0,0,1.2933,0.4217,0,0.4182,14.715,15.1332,
45,0.75,-4.5675,5,0.75,0.65,0,0,0.65,0.2,0,0,0.2,0.4,0,0,0.4,1.3,0,0,1.3,0.4325,0,0.4225,14.715,15.1375,
46,0.767,-4.5566,5,0.75,0.6533,0,0,0.6533,0.2,0,0,0.2,0.4,0,0,0.4,1.3067,0,0,1.3067,0.4434,0,0.4268,14.715,15.1418,
47,0.783,-4.5457,5,0.75,0.6567,0,0,0.6567,0.2,0,0,0.2,0.4,0,0,0.4,1.3133,0,0,1.3133,0.4543,0,0.4312,14.715,15.1462,
48,0.8,-4.5347,5,0.75,0.66,0,0,0.66,0.2,0,0,0.2,0.4,0,0,0.4,1.32,0,0,1.32,0.4653,0,0.4356,14.715,15.1506,
49,0.817,-4.5236,5,0.75,0.6633,0,0,0.6633,0.2,0,0,0.2,0.4,0,0,0.4,1.3267,0,0,1.3267,0.4764,0,0.44,14.715,15.155,
50,0.833,-4.5236,5,0.75,-0.398,0,0,0.398,0.2,0,0,0.2,0.4,0,0,0.4,-0.796,0,0,0.796,0.4764,0,0.1584,14.715,14.8734,IMPACT
51,0.85,-4.5299,5,0.75,-0.3781,0,0,0.3781,0.0378,0,0,0.0378,0.0756,0,0,0.0756,-0.7562,0,0,0.7562,0.4701,0.0063,0.143,14.715,14.858,
52,0.867,-4.5359,5,0.75,-0.3592,0,0,0.3592,0.0359,0,0,0.0359,0.0718,0,0,0.0718,-0.7184,0,0,0.7184,0.4641,0.0123,0.129,14.715,14.844,
53,0.883,-4.5416,5,0.75,-0.3412,0,0,0.3412,0.0341,0,0,0.0341,0.0682,0,0,0.0682,-0.6825,0,0,0.6825,0.4584,0.018,0.1164,14.715,14.8314,
54,0.9,-4.547,5,0.75,-0.3242,0,0,0.3242,0.0324,0,0,0.0324,0.0648,0,0,0.0648,-0.6483,0,0,0.6483,0.453,0.0234,0.1051,14.715,14.8201,
55,0.917,-4.5521,5,0.75,-0.308,0,0,0.308,0.0308,0,0,0.0308,0.0616,0,0,0.0616,-0.6159,0,0,0.6159,0.4479,0.0285,0.0948,14.715,14.8098,
56,0.933,-4.557,5,0.75,-0.2926,0,0,0.2926,0.0293,0,0,0.0293,0.0585,0,0,0.0585,-0.5851,0,0,0.5851,0.443,0.0334,0.0856,14.715,14.8006,
57,0.95,-4.5616,5,0.75,-0.2779,0,0,0.2779,0.0278,0,0,0.0278,0.0556,0,0,0.0556,-0.5559,0,0,0.5559,0.4384,0.038,0.0772,14.715,14.7922,
58,0.967,-4.566,5,0.75,-0.264,0,0,0.264,0.0264,0,0,0.0264,0.0528,0,0,0.0528,-0.5281,0,0,0.5281,0.434,0.0424,0.0697,14.715,14.7847,
59,0.983,-4.5702,5,0.75,-0.2508,0,0,0.2508,0.0251,0,0,0.0251,0.0502,0,0,0.0502,-0.5017,0,0,0.5017,0.4298,0.0466,0.0629,14.715,14.7779,
60,1,-4.5742,5,0.75,-0.2383,0,0,0.2383,0.0238,0,0,0.0238,0.0477,0,0,0.0477,-0.4766,0,0,0.4766,0.4258,0.0506,0.0568,14.715,14.7718,
61,1.017,-4.578,5,0.75,-0.2264,0,0,0.2264,0.0226,0,0,0.0226,0.0453,0,0,0.0453,-0.4528,0,0,0.4528,0.422,0.0543,0.0512,14.715,14.7662,
62,1.033,-4.5815,5,0.75,-0.2151,0,0,0.2151,0.0215,0,0,0.0215,0.043,0,0,0.043,-0.4301,0,0,0.4301,0.4185,0.0579,0.0463,14.715,14.7613,
63,1.05,-4.5849,5,0.75,-0.2043,0,0,0.2043,0.0204,0,0,0.0204,0.0409,0,0,0.0409,-0.4086,0,0,0.4086,0.4151,0.0613,0.0417,14.715,14.7567,
64,1.067,-4.5882,5,0.75,-0.1941,0,0,0.1941,0.0194,0,0,0.0194,0.0388,0,0,0.0388,-0.3882,0,0,0.3882,0.4118,0.0646,0.0377,14.715,14.7527,
65,1.083,-4.5913,5,0.75,-0.1844,0,0,0.1844,0.0184,0,0,0.0184,0.0369,0,0,0.0369,-0.3688,0,0,0.3688,0.4087,0.0676,0.034,14.715,14.749,
66,1.1,-4.5942,5,0.75,-0.1752,0,0,0.1752,0.0175,0,0,0.0175,0.035,0,0,0.035,-0.3503,0,0,0.3503,0.4058,0.0706,0.0307,14.715,14.7457,
67,1.117,-4.5969,5,0.75,-0.1664,0,0,0.1664,0.0166,0,0,0.0166,0.0333,0,0,0.0333,-0.3328,0,0,0.3328,0.4031,0.0733,0.0277,14.715,14.7427,
68,1.133,-4.5996,5,0.75,-0.1581,0,0,0.1581,0.0158,0,0,0.0158,0.0316,0,0,0.0316,-0.3162,0,0,0.3162,0.4004,0.076,0.025,14.715,14.74,
69,1.15,-4.6021,5,0.75,-0.1502,0,0,0.1502,0.015,0,0,0.015,0.03,0,0,0.03,-0.3004,0,0,0.3004,0.3979,0.0785,0.0226,14.715,14.7376,
70,1.167,-4.6045,5,0.75,-0.1427,0,0,0.1427,0.0143,0,0,0.0143,0.0285,0,0,0.0285,-0.2854,0,0,0.2854,0.3955,0.0809,0.0204,14.715,14.7354,
71,1.183,-4.6067,5,0.75,-0.1355,0,0,0.1355,0.0136,0,0,0.0136,0.0271,0,0,0.0271,-0.2711,0,0,0.2711,0.3933,0.0831,0.0184,14.715,14.7334,
72,1.2,-4.6089,5,0.75,-0.1288,0,0,0.1288,0.0129,0,0,0.0129,0.0258,0,0,0.0258,-0.2575,0,0,0.2575,0.3911,0.0853,0.0166,14.715,14.7316,
73,1.217,-4.6109,5,0.75,-0.1223,0,0,0.1223,0.0122,0,0,0.0122,0.0245,0,0,0.0245,-0.2447,0,0,0.2447,0.3891,0.0873,0.015,14.715,14.73,
74,1.233,-4.6128,5,0.75,-0.1162,0,0,0.1162,0.0116,0,0,0.0116,0.0232,0,0,0.0232,-0.2324,0,0,0.2324,0.3872,0.0892,0.0135,14.715,14.7285,
75,1.25,-4.6147,5,0.75,-0.1104,0,0,0.1104,0.011,0,0,0.011,0.0221,0,0,0.0221,-0.2208,0,0,0.2208,0.3853,0.0911,0.0122,14.715,14.7272,
76,1.267,-4.6164,5,0.75,-0.1049,0,0,0.1049,0.0105,0,0,0.0105,0.021,0,0,0.021,-0.2098,0,0,0.2098,0.3836,0.0928,0.011,14.715,14.726,
77,1.283,-4.6181,5,0.75,-0.0996,0,0,0.0996,0.01,0,0,0.01,0.0199,0,0,0.0199,-0.1993,0,0,0.1993,0.3819,0.0945,0.0099,14.715,14.7249,
78,1.3,-4.6197,5,0.75,-0.0947,0,0,0.0947,0.0095,0,0,0.0095,0.0189,0,0,0.0189,-0.1893,0,0,0.1893,0.3803,0.0961,0.009,14.715,14.724,
79,1.317,-4.6212,5,0.75,-0.0899,0,0,0.0899,0.009,0,0,0.009,0.018,0,0,0.018,-0.1798,0,0,0.1798,0.3788,0.0976,0.0081,14.715,14.7231,
80,1.333,-4.6226,5,0.75,-0.0854,0,0,0.0854,0.0085,0,0,0.0085,0.0171,0,0,0.0171,-0.1709,0,0,0.1709,0.3774,0.099,0.0073,14.715,14.7223,
81,1.35,-4.6239,5,0.75,-0.0812,0,0,0.0812,0.0081,0,0,0.0081,0.0162,0,0,0.0162,-0.1623,0,0,0.1623,0.3761,0.1003,0.0066,14.715,14.7216,
82,1.367,-4.6252,5,0.75,-0.0771,0,0,0.0771,0.0077,0,0,0.0077,0.0154,0,0,0.0154,-0.1542,0,0,0.1542,0.3748,0.1016,0.0059,14.715,14.7209,
83,1.383,-4.6265,5,0.75,-0.0732,0,0,0.0732,0.0073,0,0,0.0073,0.0146,0,0,0.0146,-0.1465,0,0,0.1465,0.3735,0.1028,0.0054,14.715,14.7204,
84,1.4,-4.6276,5,0.75,-0.0696,0,0,0.0696,0.007,0,0,0.007,0.0139,0,0,0.0139,-0.1392,0,0,0.1392,0.3724,0.104,0.0048,14.715,14.7198,
85,1.417,-4.6287,5,0.75,-0.0661,0,0,0.0661,0.0066,0,0,0.0066,0.0132,0,0,0.0132,-0.1322,0,0,0.1322,0.3713,0.1051,0.0044,14.715,14.7194,
86,1.433,-4.6298,5,0.75,-0.0628,0,0,0.0628,0.0063,0,0,0.0063,0.0126,0,0,0.0126,-0.1256,0,0,0.1256,0.3702,0.1061,0.0039,14.715,14.7189,
87,1.45,-4.6308,5,0.75,-0.0597,0,0,0.0597,0.006,0,0,0.006,0.0119,0,0,0.0119,-0.1193,0,0,0.1193,0.3692,0.1071,0.0036,14.715,14.7186,
88,1.467,-4.6317,5,0.75,-0.0567,0,0,0.0567,0.0057,0,0,0.0057,0.0113,0,0,0.0113,-0.1133,0,0,0.1133,0.3683,0.1081,0.0032,14.715,14.7182,
89,1.483,-4.6326,5,0.75,-0.0538,0,0,0.0538,0.0054,0,0,0.0054,0.0108,0,0,0.0108,-0.1077,0,0,0.1077,0.3674,0.109,0.0029,14.715,14.7179,
90,1.5,-4.6334,5,0.75,-0.0511,0,0,0.0511,0.0051,0,0,0.0051,0.0102,0,0,0.0102,-0.1023,0,0,0.1023,0.3666,0.1098,0.0026,14.715,14.7176,
91,1.517,-4.6343,5,0.75,-0.0486,0,0,0.0486,0.0049,0,0,0.0049,0.0097,0,0,0.0097,-0.0972,0,0,0.0972,0.3657,0.1106,0.0024,14.715,14.7174,
92,1.533,-4.635,5,0.75,-0.0462,0,0,0.0462,0.0046,0,0,0.0046,0.0092,0,0,0.0092,-0.0923,0,0,0.0923,0.365,0.1114,0.0021,14.715,14.7171,
93,1.55,-4.6358,5,0.75,-0.0439,0,0,0.0439,0.0044,0,0,0.0044,0.0088,0,0,0.0088,-0.0877,0,0,0.0877,0.3642,0.1121,0.0019,14.715,14.7169,
94,1.567,-4.6365,5,0.75,-0.0417,0,0,0.0417,0.0042,0,0,0.0042,0.0083,0,0,0.0083,-0.0833,0,0,0.0833,0.3635,0.1128,0.0017,14.715,14.7167,
95,1.583,-4.6371,5,0.75,-0.0396,0,0,0.0396,0.004,0,0,0.004,0.0079,0,0,0.0079,-0.0792,0,0,0.0792,0.3629,0.1135,0.0016,14.715,14.7166,
96,1.6,-4.6377,5,0.75,-0.0376,0,0,0.0376,0.0038,0,0,0.0038,0.0075,0,0,0.0075,-0.0752,0,0,0.0752,0.3623,0.1141,0.0014,14.715,14.7164,
97,1.617,-4.6383,5,0.75,-0.0357,0,0,0.0357,0.0036,0,0,0.0036,0.0071,0,0,0.0071,-0.0714,0,0,0.0714,0.3617,0.1147,0.0013,14.715,14.7163,
98,1.633,-4.6389,5,0.75,-0.0339,0,0,0.0339,0.0034,0,0,0.0034,0.0068,0,0,0.0068,-0.0679,0,0,0.0679,0.3611,0.1153,0.0012,14.715,14.7162,
99,1.65,-4.6394,5,0.75,-0.0322,0,0,0.0322,0.0032,0,0,0.0032,0.0064,0,0,0.0064,-0.0645,0,0,0.0645,0.3606,0.1158,0.001,14.715,14.716,
100,1.667,-4.6399,5,0.75,-0.0306,0,0,0.0306,0.0031,0,0,0.0031,0.0061,0,0,0.0061,-0.0612,0,0,0.0612,0.3601,0.1163,0.0009,14.715,14.7159,
101,1.683,-4.6404,5,0.75,-0.0291,0,0,0.0291,0.0029,0,0,0.0029,0.0058,0,0,0.0058,-0.0582,0,0,0.0582,0.3596,0.1168,0.0008,14.715,14.7158,
