Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
26,0.433,-4.7638,5,0.75,0.5867,1.0163,0.21195959884295826,2.0376404327987294,0.042391919768591656,0.40752808655974593,0.11734,0.20326,0.2362,0.0,0.3442,14.715,15.0592,BEFORE
27,0.45,-4.754,5,0.75,0.59,1.049,0.19479203125787756,1.9242632911899429,0.03895840625157551,0.3848526582379886,0.118,0.2098,0.246,0.0,0.3481,14.715,15.0631,BEFORE
28,0.467,-4.7441,5,0.75,0.5933,1.0816,0.19437349773552492,1.9181630311769504,0.038874699547104985,0.3836326062353901,0.11866000000000002,0.21631999999999998,0.2559,0.0,0.352,14.715,15.067,BEFORE
29,0.483,-4.7342,5,0.75,0.5967,1.1143,0.2118089041549677,2.0431344677541547,0.04236178083099354,0.408626893550831,0.11934,0.22286000000000003,0.2658,0.0,0.356,14.715,15.071,BEFORE
30,0.5,-4.7242,5,0.75,0.6,1.1469,0.19439430986998463,1.9174694906926846,0.038878861973996925,0.38349389813853696,0.12,0.22938000000000003,0.2758,0.0,0.36,14.715,15.075,BEFORE
31,0.517,-4.7141,5,0.75,0.6033,1.1796,0.19507419271015589,1.9242334549558666,0.03901483854203118,0.38484669099117336,0.12065999999999999,0.23592000000000002,0.2859,0.0,0.364,14.715,15.079,BEFORE
32,0.533,-4.704,5,0.75,0.6067,1.2122,0.21225003973482218,2.038198163490178,0.042450007946964435,0.4076396326980356,0.12134,0.24244,0.296,0.0,0.368,14.715,15.083,BEFORE
33,0.55,-4.6938,5,0.75,0.61,1.2449,0.19348219300249825,1.9243591143499712,0.03869643860049965,0.3848718228699943,0.122,0.24897999999999998,0.3062,0.0,0.3721,14.715,15.0871,BEFORE
34,0.567,-4.6836,5,0.75,0.6133,1.2776,0.1951143852385402,1.922743916442282,0.03902287704770804,0.38454878328845643,0.12265999999999999,0.25552,0.3164,0.0,0.3762,14.715,15.0912,BEFORE
35,0.583,-4.6733,5,0.75,0.6167,1.3102,0.21304462024274423,2.0365614558414444,0.04260892404854885,0.40731229116828893,0.12334,0.26204,0.3267,0.0,0.3803,14.715,15.0953,BEFORE
